#Mean crosslink separation = 0.0849194
#Dist	Freq
0.00300104	2849
0.00953954	5863
0.016078	5721
0.0226165	5046
0.029155	4713
0.0356935	4429
0.042232	4021
0.0487705	3681
0.055309	3493
0.0618475	3154
0.068386	2897
0.0749245	2700
0.081463	2497
0.0880015	2320
0.09454	2126
0.101079	1955
0.107617	1813
0.114156	1632
0.120694	1515
0.127233	1505
0.133771	1339
0.14031	1173
0.146848	1119
0.153387	1062
0.159925	930
0.166464	895
0.173002	777
0.179541	769
0.186079	706
0.192618	598
0.199156	639
0.205695	502
0.212233	526
0.218772	453
0.22531	426
0.231849	346
0.238387	362
0.244926	340
0.251464	324
0.258003	281
0.264541	268
0.27108	242
0.277618	214
0.284157	209
0.290695	192
0.297234	173
0.303772	193
0.310311	164
0.316849	151
0.323388	121
0.329926	135
0.336465	108
0.343003	113
0.349542	98
0.35608	107
0.362619	68
0.369157	66
0.375696	64
0.382234	59
0.388773	44
0.395311	61
0.40185	55
0.408388	44
0.414927	45
0.421465	30
0.428004	41
0.434542	21
0.441081	33
0.447619	35
0.454158	27
0.460696	32
0.467235	25
0.473773	17
0.480312	18
0.48685	19
0.493389	13
0.499927	20
0.506466	20
0.513004	14
0.519543	5
0.526081	7
0.53262	8
0.539158	2
0.545697	9
0.552235	4
0.558774	4
0.565312	9
0.571851	6
0.578389	8
0.584928	5
0.591466	4
0.598005	5
0.604543	4
0.611082	2
0.61762	0
0.624159	4
0.630697	2
0.637236	1
0.643774	0
0.650313	1
0.656851	1
0.66339	1
0.669928	1
0.676467	1
0.683005	0
0.689544	0
0.696082	1
0.702621	3
0.709159	1
0.715698	1
0.722236	0
0.728775	0
0.735313	0
0.741852	0
0.74839	1
0.754929	1
0.761467	0
0.768006	2
0.774544	0
0.781083	1
0.787621	0
0.79416	1
0.800698	0
0.807237	0
0.813775	0
0.820314	0
0.826852	0
0.833391	0
0.839929	0
0.846468	0
0.853006	0
0.859545	0
0.866083	1
0.872622	0
