#Mean filament length = 2.00009
#L	Freq
2	3520
2.0001	11
2.00019	5
2.00029	9
2.00038	9
2.00048	6
2.00057	9
2.00067	7
2.00076	7
2.00086	9
2.00095	6
2.00105	12
2.00114	11
2.00124	6
2.00134	5
2.00143	6
2.00153	5
2.00162	9
2.00172	6
2.00181	10
2.00191	5
2.002	9
2.0021	6
2.00219	7
2.00229	11
2.00238	7
2.00248	8
2.00258	5
2.00267	7
2.00277	7
2.00286	6
2.00296	7
2.00305	0
2.00315	0
2.00324	0
2.00334	0
2.00343	0
2.00353	1
2.00362	0
2.00372	0
2.00382	0
2.00391	0
2.00401	0
2.0041	0
2.0042	0
2.00429	0
2.00439	0
2.00448	0
2.00458	0
2.00467	1
2.00477	0
